id,rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
,PF18377.4,FERM F2 acyl-CoA binding protein-like domain,Domain,24,131,3062,127.6,44,Pfam seed
,PF00373.21,FERM central domain,Domain,54,387,8594,159.1,19,Pfam seed
,PF09379.13,FERM N-terminal domain,Domain,21,75,1354,64.5,26,Pfam seed
,PF18038.4,FERM N-terminal domain,Domain,12,101,1158,96.5,52,Pfam seed
,PF16947.8,N-terminal region of 4Fe-4S ferredoxin iron-sulfur binding,Family,16,65,1033,64.6,58,Pfam seed
,PF01794.22,Ferric reductase like transmembrane component,Family,133,224,16445,123.6,19,Pfam seed
,PF00210.27,Ferritin-like domain,Domain,150,176,20907,139.4,20,Pfam seed
,PF12902.10,Ferritin-like,Domain,24,359,5317,221.5,29,Pfam seed
,PF13668.9,Ferritin-like domain,Domain,84,232,12180,145.0,31,Pfam seed
,PF00762.22,Ferrochelatase,Domain,128,501,40580,317.0,30,Pfam seed
,PF04060.16,Putative Fe-S cluster,Domain,353,43,11565,32.8,42,Pfam seed
,PF08609.13,Nucleotide exchange factor Fes1,Repeat,98,213,8913,90.9,34,Pfam seed
,PF01883.22,Iron-sulfur cluster assembly protein,Domain,39,86,2856,73.2,24,Pfam seed
,PF02941.18,Ferredoxin thioredoxin reductase variable alpha chain,Domain,46,89,3177,69.1,51,Pfam seed
,PF02943.18,Ferredoxin thioredoxin reductase catalytic beta chain,Domain,20,116,2068,103.4,45,Pfam seed
,PF07763.16,FEZ-like protein,Family,24,332,5824,242.7,43,Pfam seed
,PF06818.18,Fez1,Coiled-coil,36,344,7453,207.0,43,Pfam seed
,PF05996.15,Ferredoxin-dependent bilin reductase,Family,26,276,5886,226.4,29,Pfam seed
,PF01325.22,"Iron dependent repressor, N-terminal DNA binding domain",Domain,9,61,540,60.0,31,Pfam seed
,PF02742.18,"Iron dependent repressor, metal binding and dimerisation domain",Domain,379,80,26103,68.9,36,Pfam seed
,PF02906.17,"Iron only hydrogenase large subunit, C-terminal domain",Domain,137,521,37276,272.1,37,Pfam seed
,PF02256.20,Iron hydrogenase small subunit,Domain,256,79,14370,56.1,41,Pfam seed
,PF01846.22,FF domain,Family,114,78,5954,52.2,23,Pfam seed
,PF01839.26,FG-GAP repeat,Repeat,174,53,6418,36.9,31,Pfam seed
,PF14312.9,FG-GAP repeat,Repeat,78,62,3812,48.9,42,Pfam seed
,PF13517.9,FG-GAP-like repeat,Repeat,681,197,43355,63.7,24,Pfam seed
,PF18072.4,Formylglycinamide ribonucleotide amidotransferase linker domain,Domain,275,64,13882,50.5,43,Pfam seed
,PF18076.4,Formylglycinamide ribonucleotide amidotransferase N-terminal,Domain,412,203,49033,119.0,41,Pfam seed
,PF05013.15,N-formylglutamate amidohydrolase,Family,249,396,55102,221.3,27,Pfam seed
,PF03781.19,Sulfatase-modifying factor enzyme 1,Domain,22,396,5671,257.8,25,Pfam seed
,PF00167.21,Fibroblast growth factor,Domain,47,172,5912,125.8,33,Pfam seed
,PF06473.15,FGF binding protein 1 (FGF-BP1),Family,38,305,8713,229.3,30,Pfam seed
,PF02782.19,"FGGY family of carbohydrate kinases, C-terminal domain",Domain,58,351,11842,204.2,20,Pfam seed
,PF00370.24,"FGGY family of carbohydrate kinases, N-terminal domain",Domain,10,267,2482,248.2,25,Pfam seed
,PF02181.26,Formin Homology 2 Domain,Family,40,507,15307,382.7,23,Pfam seed
,PF00498.29,FHA domain,Family,193,172,13774,71.4,26,Pfam seed
,PF12401.11,"FhaA, N-terminal domain",Family,96,126,10989,114.5,30,Pfam seed
,PF17913.4,FHA domain,Domain,12,104,1168,97.3,34,Pfam seed
,PF00771.23,FHIPEP family,Family,375,906,246969,658.6,41,Pfam seed
,PF06276.15,Ferric iron reductase FhuF-like transporter,Family,151,230,24365,161.4,19,Pfam seed
,PF11575.11,FhuF 2Fe-2S C-terminal domain,Domain,83,27,1751,21.1,43,Pfam seed
,PF15819.8,Fin bud initiation factor homologue,Family,12,217,2296,191.3,62,Pfam seed
,PF05427.14,Acidic fibroblast growth factor binding (FIBP),Family,18,403,6403,355.7,46,Pfam seed
,PF01269.20,Fibrillarin,Domain,34,246,7744,227.8,49,Pfam seed
,PF10113.12,"FeGP cofactor biosynthesis protein, fibrillarin family",Family,12,526,6046,503.8,54,Pfam seed
,PF18193.4,Fibrillin 1 unique N-terminal domain,Domain,4,37,148,37.0,81,Pfam seed
,PF12160.11,Fibrinogen alpha C domain,Domain,10,80,682,68.2,59,Pfam seed
,PF08017.14,Fibrinogen binding protein,Repeat,3,425,1211,403.7,96,Pfam seed
,PF00147.21,"Fibrinogen beta and gamma chains, C-terminal globular domain",Domain,5,262,1139,227.8,39,Pfam seed
,PF07921.15,Fibritin C-terminal region,Family,9,127,896,99.6,27,Pfam seed
,PF07294.14,Fibroin P25,Family,2,196,391,195.5,53,Pfam seed
,PF08702.13,Fibrinogen alpha/beta chain family,Coiled-coil,65,152,9303,143.1,27,Pfam seed
,PF09603.13,Fibrobacter succinogenes major domain (Fib_succ_major),Domain,40,460,7854,196.3,21,Pfam seed
,PF02661.21,Fic/DOC family,Family,211,178,20022,94.9,22,Pfam seed
,PF13784.9,Fic/DOC family N-terminal,Family,157,112,13024,83.0,33,Pfam seed
,PF15941.8,FidL-like putative membrane protein,Family,5,94,444,88.8,28,Pfam seed
,PF12351.11,Ca2+ regulator and membrane fusion protein Fig1,Family,27,245,5109,189.2,25,Pfam seed
,PF13553.9,Function to find,Family,32,291,8051,251.6,38,Pfam seed
,PF06837.14,Fijivirus P9-2 protein,Family,1,207,207,207.0,100,Pfam seed
,PF05880.14,Fijivirus 64 kDa capsid protein,Family,1,554,554,554.0,100,Pfam seed
,PF03516.16,Filaggrin,Repeat,20,75,1128,56.4,47,Pfam seed
,PF00038.24,Intermediate filament protein,Coiled-coil,26,372,8306,319.5,37,Pfam seed
,PF04732.17,Intermediate filament head (DNA binding) region,Family,45,123,3758,83.5,29,Pfam seed
,PF00630.22,Filamin/ABP280 repeat,Domain,123,361,12109,98.4,23,Pfam seed
,PF01611.19,Filovirus glycoprotein,Family,2,395,709,354.5,36,Pfam seed
,PF06389.14,Filovirus membrane-associated protein VP24,Family,2,262,504,252.0,38,Pfam seed
,PF02097.18,Filoviridae VP35,Family,2,342,650,325.0,37,Pfam seed
,PF08350.13,"Methanogenesis regulatory protein FilR1, middle domain",Family,84,78,5165,61.5,29,Pfam seed
,PF05594.17,Haemagglutinin repeat,Repeat,150,160,10769,71.8,15,Pfam seed
,PF13332.9,Hemagglutinin repeat,Repeat,51,262,8690,170.4,25,Pfam seed
,PF09222.13,"Fimbrial adhesin F17-AG, lectin domain",Domain,2,171,341,170.5,95,Pfam seed
,PF16970.8,"Type-1 fimbrial protein, A",Family,2,145,275,137.5,36,Pfam seed
,PF00419.23,Fimbrial protein,Domain,31,302,4959,160.0,17,Pfam seed
,PF04449.15,CS1 type fimbrial major subunit,Family,6,157,831,138.5,25,Pfam seed
,PF02432.18,"Fimbrial, major and minor subunit",Family,1,155,155,155.0,100,Pfam seed
,PF14481.9,Type 4 fimbrial biogenesis protein PilY2,Family,3,110,310,103.3,31,Pfam seed
,PF15495.9,"Major fimbrial subunit protein type IV, Fimbrillin, C-terminal",Domain,29,157,2699,93.1,31,Pfam seed
,PF09160.13,"FimH, mannose binding",Domain,5,153,728,145.6,45,Pfam seed
,PF17672.4,Fertilisation-influencing membrane protein,Family,4,130,515,128.8,62,Pfam seed
,PF10955.11,Anti-sigma-F factor Fin,Family,17,77,1275,75.0,43,Pfam seed
,PF17300.5,Filaments in between nuclei protein-1,Family,10,297,2366,236.6,32,Pfam seed
,PF12602.11,Fertility inhibition protein N terminal,Family,3,73,195,65.0,59,Pfam seed
,PF05182.16,Fip1 motif,Motif,84,57,3605,42.9,51,Pfam seed
,PF14853.9,Fis1 C-terminal tetratricopeptide repeat,Repeat,47,53,2490,53.0,40,Pfam seed
,PF14852.9,Fis1 N-terminal tetratricopeptide repeat,Repeat,72,34,2362,32.8,38,Pfam seed
,PF14484.9,Fish-specific NACHT associated domain,Family,112,88,8011,71.5,35,Pfam seed
,PF08495.13,FIST N domain,Domain,298,505,58332,195.7,18,Pfam seed
,PF10442.12,FIST C domain,Domain,275,351,38559,140.2,21,Pfam seed
,PF17357.5,Facilitor Of iron transport 1 and 2,Family,4,92,346,86.5,46,Pfam seed
,PF07554.16,FIVAR domain,Domain,204,87,14135,69.3,21,Pfam seed
,PF11614.11,"IG-like fold at C-terminal of FixG, putative oxidoreductase",Domain,160,195,19289,120.6,23,Pfam seed
,PF05751.14,FixH,Family,52,186,7595,146.1,22,Pfam seed
,PF02433.18,"Cytochrome C oxidase, mono-heme subunit/FixO",Family,100,311,22287,222.9,49,Pfam seed
,PF14715.9,"N-terminal domain of cytochrome oxidase-cbb3, FixP",Domain,149,58,7186,48.2,42,Pfam seed
,PF05545.14,Cbb3-type cytochrome oxidase component FixQ,Family,63,52,3070,48.7,26,Pfam seed
,PF03597.18,Cytochrome oxidase maturation protein cbb3-type,Family,174,44,7580,43.6,39,Pfam seed
,PF18046.4,FKBP26_C-terminal,Domain,10,82,729,72.9,31,Pfam seed
,PF00254.31,FKBP-type peptidyl-prolyl cis-trans isomerase,Domain,131,236,12284,93.8,32,Pfam seed
,PF01346.21,Domain amino terminal to FKBP-type peptidyl-prolyl isomerase,Domain,335,264,34382,102.6,28,Pfam seed
,PF18023.4,BDBT FKBP like N-terminal,Domain,8,123,892,111.5,24,Pfam seed
,PF14288.9,"1,3-beta-glucan synthase subunit FKS1, domain-1",Family,67,165,7572,113.0,43,Pfam seed
,PF19737.2,Fukutin N-terminal,Domain,12,279,3322,276.8,57,Pfam seed
,PF04620.15,Flagellar filament outer layer protein Flaa,Family,9,265,2038,226.4,26,Pfam seed
,PF05377.14,Flagella accessory protein C (FlaC),Coiled-coil,25,66,1378,55.1,34,Pfam seed
,PF07559.17,Flagellar basal body protein FlaE,Family,130,586,19728,151.8,22,Pfam seed
,PF07309.14,Flagellar protein FlaF,Family,52,121,5860,112.7,30,Pfam seed
,PF03646.18,FlaG protein,Family,106,126,10712,101.1,23,Pfam seed
,PF03614.16,Repressor of phase-1 flagellin,Family,2,170,332,166.0,35,Pfam seed
,PF12611.11,Putative flagellar,Family,74,25,1762,23.8,55,Pfam seed
,PF05149.15,Paraflagellar rod protein,Family,11,299,3180,289.1,27,Pfam seed
,PF00700.24,Bacterial flagellin C-terminal helical region,Family,18,89,1536,85.3,29,Pfam seed
,PF08884.14,Flagellin D3 domain,Domain,34,121,3028,89.1,29,Pfam seed
,PF07196.16,Flagellin hook IN motif,Motif,128,91,6976,54.5,23,Pfam seed
,PF00669.23,Bacterial flagellin N-terminal helical region,Family,22,144,3020,137.3,26,Pfam seed
,PF01613.21,Flavin reductase like domain,Domain,75,384,11609,154.8,21,Pfam seed
,PF01003.22,Flavivirus capsid protein C,Family,27,127,3104,115.0,32,Pfam seed
,PF07652.17,Flavivirus DEAD domain,Domain,19,149,2801,147.4,54,Pfam seed
,PF00869.23,"Flavivirus glycoprotein, central and dimerisation domains",Domain,2,300,588,294.0,42,Pfam seed
,PF02832.19,"Flavivirus glycoprotein, immunoglobulin-like domain",Domain,2,97,192,96.0,43,Pfam seed
,PF01004.22,Flavivirus envelope glycoprotein M,Family,3,74,222,74.0,38,Pfam seed
,PF00948.24,Flavivirus non-structural Protein NS1,Family,2,360,708,354.0,42,Pfam seed
,PF01005.22,Flavivirus non-structural protein NS2A,Family,2,215,368,184.0,31,Pfam seed
,PF01002.22,Flavivirus non-structural protein NS2B,Family,2,127,254,127.0,30,Pfam seed
,PF01350.20,Flavivirus non-structural protein NS4A,Family,2,144,286,143.0,33,Pfam seed
,PF01349.20,Flavivirus non-structural protein NS4B,Family,2,248,486,243.0,36,Pfam seed
,PF00972.23,"Flavivirus RNA-directed RNA polymerase, fingers and palm domains",Domain,3,453,1354,451.3,64,Pfam seed
,PF20483.1,"Flavivirus RNA-directed RNA polymerase, thumb domain",Domain,7,190,1159,165.6,39,Pfam seed
,PF01570.20,Flavivirus polyprotein propeptide,Family,2,88,169,84.5,36,Pfam seed
,PF00258.28,Flavodoxin,Domain,59,237,8450,143.2,20,Pfam seed
,PF02525.20,Flavodoxin-like fold,Domain,240,320,45606,190.0,21,Pfam seed
,PF12641.10,Flavodoxin domain,Domain,16,168,2562,160.1,34,Pfam seed
,PF12682.10,Flavodoxin,Domain,1,155,155,155.0,100,Pfam seed
,PF12724.10,Flavodoxin domain,Domain,34,191,4955,145.7,27,Pfam seed
,PF07972.14,NrdI Flavodoxin like,Domain,53,152,6534,123.3,38,Pfam seed
,PF01687.20,Riboflavin kinase,Domain,1005,408,129659,129.0,34,Pfam seed
,PF02441.22,Flavoprotein,Family,89,415,15935,179.0,22,Pfam seed
,PF06289.14,Flagellar and Swarming motility proteins,Family,155,62,9100,58.7,43,Pfam seed
,PF07378.14,Flagellar protein FlbT,Family,54,128,6651,123.2,32,Pfam seed
,PF06490.14,Flagellar regulatory protein FleQ,Domain,44,130,4902,111.4,26,Pfam seed
,PF00286.23,Viral coat protein,Domain,8,149,1105,138.1,34,Pfam seed
,PF08358.13,Carlavirus coat,Family,25,54,1300,52.0,39,Pfam seed
,PF03963.17,Flagellar hook capping protein - N-terminal region,Family,45,79,3363,74.7,33,Pfam seed
,PF13860.9,FlgD Ig-like domain,Domain,42,98,3253,77.5,24,Pfam seed
,PF13861.9,FlgD Tudor-like domain,Domain,146,175,19823,135.8,28,Pfam seed
,PF02107.19,Flagellar L-ring protein,Family,239,387,43773,183.2,31,Pfam seed
,PF02119.19,Flagellar P-ring protein,Family,218,543,74326,340.9,45,Pfam seed
,PF04316.16,"Anti-sigma-28 factor, FlgM",Family,254,85,13766,54.2,28,Pfam seed
,PF05130.15,FlgN protein,Family,78,199,11420,146.4,18,Pfam seed
,PF17680.4,FlgO protein,Domain,105,212,14039,133.7,26,Pfam seed
,PF16538.8,"Flagellar assembly protein T, C-terminal domain",Domain,21,80,1612,76.8,28,Pfam seed
,PF16539.8,"Flagellar assembly protein T, middle domain",Domain,21,180,3245,154.5,23,Pfam seed
,PF16548.8,"Flagellar assembly protein T, N-terminal domain",Domain,19,115,1660,87.4,26,Pfam seed
,PF06429.16,Flagellar basal body rod FlgEFG protein C-terminal,Domain,450,129,33803,75.1,30,Pfam seed
,PF00460.23,Flagella basal body rod protein,Family,15,32,466,31.1,33,Pfam seed
,PF02120.19,Flagellar hook-length control protein FliK,Domain,182,106,15320,84.2,20,Pfam seed
,PF09479.13,Listeria-Bacteroides repeat domain (List_Bact_rpt),Domain,220,151,14737,67.0,30,Pfam seed
,PF18998.3,Divergent InlB B-repeat domain,Domain,56,113,4107,73.3,30,Pfam seed
,PF05280.14,Flagellar transcriptional activator (FlhC),Family,31,191,5362,173.0,53,Pfam seed
,PF05247.16,Flagellar transcriptional activator (FlhD),Family,32,107,3256,101.8,46,Pfam seed
,PF06366.16,Flagellar protein FlhE,Family,12,113,1256,104.7,34,Pfam seed
,PF12445.11,Flagellin protein,Family,26,206,3524,135.5,29,Pfam seed
,PF12613.11,Flagellin structural protein,Family,3,57,162,54.0,55,Pfam seed
,PF07195.15,Flagellar hook-associated protein 2 C-terminus,Family,26,450,6411,246.6,23,Pfam seed
,PF02465.21,Flagellar hook-associated protein 2 N-terminus,Family,408,235,39998,98.0,23,Pfam seed
,PF02049.21,Flagellar hook-basal body complex protein FliE,Family,223,96,19931,89.4,29,Pfam seed
,PF01706.19,FliG C-terminal domain,Domain,295,122,31854,108.0,36,Pfam seed
,PF14841.9,FliG middle domain,Family,264,86,19916,75.4,33,Pfam seed
,PF14842.9,FliG N-terminal domain,Family,308,122,31563,102.5,29,Pfam seed
,PF02108.19,Flagellar assembly protein FliH,Family,31,156,3975,128.2,22,Pfam seed
,PF02050.19,Flagellar FliJ protein,Coiled-coil,69,129,8421,122.0,20,Pfam seed
,PF03748.17,Flagellar basal body-associated protein FliL,Family,441,205,43889,99.5,20,Pfam seed
,PF10306.12,Hypothetical protein FLILHELTA,Family,60,122,5102,85.0,38,Pfam seed
,PF02154.18,Flagellar motor switch protein FliM,Family,7,195,1346,192.3,33,Pfam seed
,PF01052.23,Type III flagellar switch regulator (C-ring) FliN C-term,Family,633,90,45575,72.0,25,Pfam seed
,PF16973.8,Flagellar motor switch protein FliN N-terminal,Domain,10,52,490,49.0,43,Pfam seed
,PF04347.16,"Flagellar biosynthesis protein, FliO",Family,171,184,14613,85.5,23,Pfam seed
,PF00813.23,FliP family,Family,356,326,69282,194.6,47,Pfam seed
,PF02561.17,Flagellar protein FliS,Family,364,153,41997,115.4,30,Pfam seed
,PF16522.8,"Flagellar FLiS export co-chaperone, HP1076",Domain,6,165,877,146.2,34,Pfam seed
,PF05400.16,Flagellar protein FliT,Family,76,105,6439,84.7,21,Pfam seed
,PF02623.18,FliW protein,Family,226,181,27019,119.6,30,Pfam seed
,PF10768.12,Class II flagellar assembly regulator,Family,26,153,3548,136.5,36,Pfam seed
,PF10182.12,Flo11 domain,Domain,32,195,4792,149.8,35,Pfam seed
,PF12127.11,Flotillin-like protein FloA,Family,57,340,17947,314.9,63,Pfam seed
,PF00624.21,Flocculin repeat,Repeat,384,57,15658,40.8,38,Pfam seed
,PF13928.9,Flocculin type 3 repeat,Repeat,226,72,9662,42.8,45,Pfam seed
,PF15975.8,Flotillin,Family,27,150,3305,122.4,33,Pfam seed
,PF16982.8,"Putative Flagellin, Flp1-like, domain",Family,66,50,3202,48.5,44,Pfam seed
,PF02662.19,"Methyl-viologen-reducing hydrogenase, delta subunit",Family,211,139,25895,122.7,37,Pfam seed
,PF05202.15,Recombinase Flp protein,Family,2,254,494,247.0,26,Pfam seed
,PF04964.17,Flp/Fap pilin component,Family,20,50,932,46.6,36,Pfam seed
,PF03930.17,Recombinase Flp protein N-terminus,Domain,7,90,582,83.1,31,Pfam seed
,PF02947.17,flt3 ligand,Domain,7,154,940,134.3,55,Pfam seed
,PF17891.4,Mu-like prophage FluMu N-terminal domain,Domain,11,52,548,49.8,41,Pfam seed
,PF04772.15,Influenza B matrix protein 2 (BM2),Family,1,109,109,109.0,100,Pfam seed
,PF02942.17,Influenza B non-structural protein (NS1),Family,1,247,247,247.0,100,Pfam seed
,PF03506.16,Influenza C non-structural protein (NS1),Family,1,162,162,162.0,100,Pfam seed
,PF03555.17,Influenza C non-structural protein (NS2),Family,2,57,114,57.0,98,Pfam seed
,PF00598.22,Influenza Matrix protein (M1),Domain,2,157,312,156.0,33,Pfam seed
,PF08289.14,Influenza Matrix protein (M1) C-terminal domain,Domain,2,97,186,93.0,26,Pfam seed
,PF00599.20,Influenza Matrix protein (M2),Family,2,97,194,97.0,85,Pfam seed
,PF00506.21,Influenza virus nucleoprotein,Family,2,534,1018,509.0,40,Pfam seed
,PF00600.22,Influenza non-structural protein (NS1),Family,2,217,434,217.0,67,Pfam seed
,PF00601.22,Influenza non-structural protein (NS2),Family,2,108,187,93.5,29,Pfam seed
,PF00603.20,Influenza RNA-dependent RNA polymerase subunit PA,Family,3,746,2069,689.7,31,Pfam seed
,PF00602.20,Influenza RNA-dependent RNA polymerase subunit PB1,Family,4,782,2923,730.8,38,Pfam seed
,PF00604.20,Influenza RNA-dependent RNA polymerase subunit PB2,Family,3,792,2285,761.7,29,Pfam seed
,PF14282.9,FlxA-like protein,Coiled-coil,15,112,1498,99.9,27,Pfam seed
,PF04500.19,FLYWCH zinc finger domain,Domain,41,82,2587,63.1,25,Pfam seed
,PF15423.9,FLYWCH-type zinc finger-containing protein,Family,11,111,1167,106.1,61,Pfam seed
,PF16662.8,FLYWCH-type zinc finger-containing protein 1,Disordered,11,63,671,61.0,66,Pfam seed
,PF03069.18,Acetamidase/Formamidase family,Family,70,612,26603,380.0,46,Pfam seed
,PF02663.17,"FmdE, Molybdenum formylmethanofuran dehydrogenase operon",Domain,160,226,21070,131.7,27,Pfam seed
,PF09766.12,Fms-interacting protein/Thoc5,Family,55,625,19761,359.3,29,Pfam seed
,PF04205.17,FMN-binding domain,Domain,835,285,71268,85.4,24,Pfam seed
,PF04299.15,Putative FMN-binding domain,Family,263,338,46000,174.9,32,Pfam seed
,PF01070.21,FMN-dependent dehydrogenase,Domain,173,595,60946,352.3,33,Pfam seed
,PF03358.18,NADPH-dependent FMN reductase,Domain,154,268,23288,151.2,22,Pfam seed
,PF00743.22,Flavin-binding monooxygenase-like,Family,5,533,2656,531.2,54,Pfam seed
,PF17315.5,Found in mitochondrial proteome,Family,22,149,2673,121.5,44,Pfam seed
,PF10344.12,Mitochondrial protein from FMP27,Family,23,1225,19953,867.5,16,Pfam seed
,PF10347.12,RNA pol II promoter Fmp27 protein domain,Domain,27,162,4126,152.8,35,Pfam seed
,PF10305.12,RNA pol II promoter Fmp27 protein domain,Domain,123,128,12446,101.2,29,Pfam seed
,PF10359.12,RNA pol II promoter Fmp27 protein domain,Domain,90,756,45262,502.9,29,Pfam seed
,PF07091.14,Ribosomal RNA methyltransferase (FmrO),Family,3,276,774,258.0,34,Pfam seed
,PF00039.21,Fibronectin type I domain,Domain,57,42,2192,38.5,36,Pfam seed
,PF00040.22,Fibronectin type II domain,Domain,256,52,10501,41.0,41,Pfam seed
,PF00041.24,Fibronectin type III domain,Domain,98,117,8195,83.6,19,Pfam seed
,PF14310.9,Fibronectin type III-like domain,Family,589,161,41817,71.0,32,Pfam seed
,PF16893.8,Fibronectin type III domain,Domain,41,95,3652,89.1,51,Pfam seed
,PF14686.9,"Polysaccharide lyase family 4, domain II",Domain,144,109,11055,76.8,30,Pfam seed
,PF16794.8,Fibronectin-III type domain,Domain,15,116,1519,101.3,37,Pfam seed
,PF06280.15,Fn3-like domain,Domain,22,165,2559,116.3,20,Pfam seed
,PF17766.4,Fibronectin type-III domain,Domain,167,242,16809,100.7,32,Pfam seed
,PF18447.4,Fibronectin type III domain,Domain,15,97,1437,95.8,45,Pfam seed
,PF13287.9,Fn3 associated,Domain,25,132,1610,64.4,30,Pfam seed
,PF17808.4,Fn3-like domain from Purple Acid Phosphatase,Domain,5,155,609,121.8,37,Pfam seed
,PF05725.15,FNIP Repeat,Repeat,34,78,1508,44.4,30,Pfam seed
,PF14638.9,Folliculin-interacting protein C-terminus,Family,20,301,3954,197.7,34,Pfam seed
,PF14637.9,Folliculin-interacting protein middle domain,Family,18,309,4212,234.0,31,Pfam seed
,PF14636.9,Folliculin-interacting protein N-terminus,Family,49,186,6856,139.9,29,Pfam seed
,PF02986.17,Fibronectin binding repeat,Motif,33,52,1270,38.5,36,Pfam seed
,PF03274.17,Foamy virus BEL 1/2 protein,Family,2,301,469,234.5,42,Pfam seed
,PF03408.17,Foamy virus envelope protein,Family,1,984,984,984.0,100,Pfam seed
,PF11229.11,Focadhesin,Family,13,595,7645,588.1,57,Pfam seed
,PF03623.16,Focal adhesion targeting region,Domain,19,135,2520,132.6,49,Pfam seed
,PF15888.8,Folded gastrulation N-terminus,Domain,9,134,982,109.1,41,Pfam seed
,PF11817.11,Foie gras liver health family 1,Repeat,18,342,4815,267.5,27,Pfam seed
,PF09254.14,"FokI, cleavage domain",Domain,4,200,752,188.0,38,Pfam seed
,PF02981.18,"FokI, recognition domain, subdomain 1",Domain,3,156,423,141.0,40,Pfam seed
,PF16902.8,"FokI, D3 domain",Domain,3,69,204,68.0,38,Pfam seed
,PF02980.19,"FokI, recognition domain, subdomain 2",Domain,4,149,548,137.0,40,Pfam seed
,PF01770.21,Reduced folate carrier,Family,17,458,7011,412.4,37,Pfam seed
,PF03024.17,Folate receptor family,Domain,34,283,5791,170.3,29,Pfam seed
,PF02152.21,Dihydroneopterin aldolase,Domain,791,222,88170,111.5,26,Pfam seed
,PF11704.11,Vesicle coat protein involved in Golgi to plasma membrane transport,Family,85,318,15793,185.8,29,Pfam seed
,PF16692.8,Folliculin C-terminal domain,Domain,10,241,2195,219.5,35,Pfam seed
,PF09289.13,Follistatin/Osteonectin-like EGF domain,Domain,23,22,504,21.9,47,Pfam seed
,PF09398.13,FOP N terminal dimerisation domain,Domain,4,85,314,78.5,34,Pfam seed
,PF13865.9,C-terminal duplication domain of Friend of PRMT1,Family,35,98,2847,81.3,27,Pfam seed
,PF00250.21,Forkhead domain,Domain,276,123,24125,87.4,43,Pfam seed
,PF08430.15,Forkhead N-terminal region,Family,29,195,3751,129.3,25,Pfam seed
,PF09163.14,"Formate dehydrogenase N, transmembrane",Domain,46,45,2006,43.6,41,Pfam seed
,PF18382.4,Formin N-terminal GTPase-binding domain,Domain,13,132,1568,120.6,52,Pfam seed
,PF02911.21,"Formyl transferase, C-terminal domain",Domain,65,174,6565,101.0,23,Pfam seed
,PF00551.22,Formyl transferase,Domain,13,220,2401,184.7,27,Pfam seed
,PF01226.20,Formate/nitrite transporter,Family,484,542,121387,250.8,27,Pfam seed
,PF12414.11,Calcitonin gene-related peptide regulator C terminal,Family,8,159,808,101.0,66,Pfam seed
,PF16676.8,Transactivation domain of FOXO protein family,Domain,17,47,707,41.6,53,Pfam seed
,PF16675.8,"KIX-binding domain of forkhead box O, CR2",Family,17,97,1392,81.9,39,Pfam seed
,PF16159.8,FOXP coiled-coil domain,Domain,26,72,1795,69.0,47,Pfam seed
,PF09758.12,Uncharacterised conserved protein,Family,28,201,4233,151.2,33,Pfam seed
,PF06963.15,Ferroportin1 (FPN1),Family,16,546,7218,451.1,30,Pfam seed
,PF10621.12,F420H2 dehydrogenase subunit FpoO,Family,5,119,559,111.8,49,Pfam seed
,PF05911.14,"Filament-like plant protein, long coiled-coil",Coiled-coil,28,999,23607,843.1,40,Pfam seed
,PF16104.8,Formyl peptide receptor-like 1 inhibitory protein,Family,1,105,105,105.0,100,Pfam seed
,PF17614.5,Viral CC-type chemokine,Family,1,188,188,188.0,100,Pfam seed
,PF08445.13,FR47-like protein,Family,9,92,784,87.1,25,Pfam seed
,PF09725.12,Folate-sensitive fragile site protein Fra10Ac1,Family,57,247,7256,127.3,49,Pfam seed
,PF10277.12,Frag1/DRAM/Sfk1 family,Family,64,373,14477,226.2,18,Pfam seed
,PF16376.8,N-terminal domain of fragilysin,Domain,2,144,288,144.0,31,Pfam seed
,PF05994.14,Cytoplasmic Fragile-X interacting family,Family,26,1048,21703,834.7,36,Pfam seed
,PF14407.9,Ribosomally synthesized peptide prototyped by Frankia Franean1_4349.,Family,8,67,492,61.5,30,Pfam seed
,PF01491.19,Frataxin-like domain,Domain,227,203,24610,108.4,32,Pfam seed
,PF08771.14,FKBP12-rapamycin binding domain,Domain,82,139,8124,99.1,42,Pfam seed
,PF03197.16,Bacteriophage FRD2 protein,Family,1,103,103,103.0,100,Pfam seed
,PF19309.2,Frem protein N-terminal domain,Domain,16,226,3286,205.4,55,Pfam seed
,PF08867.14,FRG domain,Domain,57,159,5497,96.4,30,Pfam seed
,PF06229.15,FRG1-like domain,Domain,10,237,1925,192.5,36,Pfam seed
,PF15315.9,Facioscapulohumeral muscular dystrophy candidate 2,Family,6,192,1104,184.0,49,Pfam seed
,PF04432.16,"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus",Domain,172,282,27401,159.3,24,Pfam seed
,PF04422.16,"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term",Family,169,120,13059,77.3,28,Pfam seed
,PF07899.14,Frigida-like protein,Family,49,336,14158,288.9,32,Pfam seed
,PF02434.19,Fringe-like,Family,27,375,6660,246.7,40,Pfam seed
,PF01534.20,Frizzled/Smoothened family membrane region,Family,81,459,26106,322.3,38,Pfam seed
,PF18032.4,Photoprotection regulator fluorescence recovery protein,Domain,6,99,594,99.0,42,Pfam seed
,PF06901.15,RTX iron-regulated protein FrpC,Family,3,271,797,265.7,97,Pfam seed
